Const,SP_Surge,Overpayment Factor,Panic Buy Adjustment,Average Sentiment,PPD,omega,alpha[1],beta[1]
0.31983706614105234,0.6309879057038732,-0.10268324359323593,-0.08596338645963501,1.6531234434685445,-0.15893773980827655,0.4301147338542347,0.1562778403761307,0.8228479782152935
0.3163606864649241,0.6388947230414386,-0.10583561411432196,-0.08666553354864112,1.6705948470567784,-0.12371002288854806,0.43564557137099863,0.15656053264954267,0.8217724915742026
0.325167552104783,0.6045221462078412,-0.10546359558771559,-0.08663787510848649,1.6278925054439999,-0.10212700596686415,0.4474739345174138,0.15775887775567937,0.8191150454705949
0.3423403543284025,0.6574644978623675,-0.10761221767236556,-0.08818613111108946,1.6072322174496048,-0.13452008038615523,0.45962633187358226,0.15934399554517775,0.8162220555075487
0.3710363570862775,0.6531627821853326,-0.10908508627338022,-0.09130319026141398,1.5866759440244724,-0.1339708902008618,0.4815590369683424,0.16219526087570238,0.8110042462260817
0.4023579050047941,0.6635780585731357,-0.11290797098670687,-0.09482601610837192,1.5718715407396024,-0.14889435836427428,0.49041294691543763,0.16366395825897198,0.8087440903899124
0.4352029440402742,0.6341141575309768,-0.1146665934912184,-0.09880683999699762,1.5707867826482431,-0.1383256499542984,0.5085785223417335,0.16627486787994866,0.8042989167543568
0.5028008318366856,0.5779689403305581,-0.12126625456860096,-0.10838297856301353,1.6168219456680946,-0.08632683715630061,0.5000827146944754,0.1652277139035758,0.8063351355066715
0.540994266389683,0.5762550095278329,-0.12447955519366044,-0.11311549992250296,1.6147154710321354,-0.0794450189626792,0.5172199843027728,0.16721398131632112,0.802361958707786
0.4788546296315853,0.7051944057847676,-0.12740549404424154,-0.09830144062110874,1.4347817814423796,-0.2009457057671216,0.497360490099661,0.16490455826238895,0.8069142540707321
0.5009611698884435,0.6994112549492789,-0.12941579271029044,-0.10005271184375464,1.3950262999892935,-0.1940216936290344,0.5062062713635084,0.16557794691336777,0.8050127550453504
0.5208893557317804,0.6965251492344062,-0.13245557562923085,-0.10127105784258993,1.3601499011778513,-0.2062082733512358,0.517631586244915,0.16684936384825394,0.8023320739161267
0.5216780921827303,0.717358902411469,-0.1376919513481689,-0.10202280254982964,1.3629739724871968,-0.17404788570931407,0.5250651392786284,0.16757749064112412,0.8006523453566387
0.546901875623443,0.7410169354992137,-0.14166409442470426,-0.1044783140076378,1.3401449874162028,-0.1808841286729096,0.5394490125931706,0.16966694547765124,0.7970115146979795
0.5715729165852362,0.7385243882808211,-0.1448866314330853,-0.10680205824093679,1.3147638495180543,-0.17195767227787334,0.5543402486938012,0.17222745695406338,0.7930183316472319
0.5854913135591996,0.6395779649233906,-0.1431429024472723,-0.10806714910800731,1.30586264519654,-0.1706793040587976,0.5617695415331971,0.17401109457199684,0.7906790313921449
0.5721806073588015,0.6261044853223918,-0.14074881965449765,-0.10621736051868594,1.3020358149975308,-0.15813057077925724,0.565018461024261,0.17478239482868502,0.7895822143372182
0.5512676367839111,0.7629130398025625,-0.14179132000727476,-0.10284785416929135,1.2533988738872464,-0.20371720588326625,0.5637323325883461,0.17412313484273326,0.7902966493866806
0.5698497209104108,0.764036391035281,-0.14399907024842531,-0.10492868901172325,1.2447888323398972,-0.1990087340849474,0.5673403627948915,0.17477092897454094,0.7891155941644258
0.48689437138637043,0.7133116837136814,-0.13869911235779972,-0.1026761438338666,1.619307465252595,-0.26707319864134665,0.5430319682495229,0.1699286376629822,0.7963637053103275
0.4755685378938557,0.6815519712226916,-0.13664220943281055,-0.10361749747827255,1.6941956400978486,-0.24623210212906113,0.5362383469017559,0.16782694945510107,0.7984054375241167
0.46182958080122627,0.6988066419617501,-0.13657083141445436,-0.1028750498647439,1.7437200767716952,-0.2644252683190389,0.5328711876087506,0.16685950266313487,0.799273921537609
0.4939124866491948,0.3435954859724877,-0.14272462688974533,-0.09180843878284817,1.193322712974729,-0.23752140034980157,0.5446766292243524,0.17431325225040842,0.7967985584805853
0.4534288405507903,0.30765012344888565,-0.13987522888747675,-0.08815148455821223,1.240654093809194,-0.2238765881091131,0.5230023155884924,0.1678473815653285,0.8035598821556172
0.43755863086756247,0.30628152591060664,-0.1395322247933495,-0.08770663531652631,1.292278230578017,-0.225172098654791,0.513702264100551,0.1642074497421594,0.8069057656580263
0.4245512019986838,0.2961295794992256,-0.13917940977733884,-0.08681720043201137,1.3182237192158641,-0.22485559366893226,0.5086449136603216,0.16143113830762296,0.809101952820088
0.425614127435222,0.39274960893747873,-0.14281494358363742,-0.08694235878638407,1.3131666383887297,-0.22910468575129714,0.5101411527450902,0.1612156264532604,0.8089876617091909
0.4420914029603034,0.40457457116260787,-0.14578302646037047,-0.08898656118898875,1.312324973351688,-0.23982392423583948,0.5140516748706572,0.1611075890504665,0.8083774767701519
0.45099380089820845,0.3955533161760689,-0.14715724716518536,-0.09035110916359994,1.324432362220034,-0.23639147660365692,0.5191783718954738,0.16074552629984537,0.8076465481130678
